_id,singkat,hasil
1199,keponakanya,keponakannya
1200,kepotong,terpotong
1201,keprcayaan,kepercayaan
1202,keprcayan,kepercayaan
1203,kepribadianya,kepribadiannya
1204,kepsek,kepala sekolah
1205,kepulau,ke pulau
1206,kepuncak,ke puncak
1207,keputar,terputar
1208,keputusanya,keputusannya
1209,keragunan,ke ragunan
1210,kerajan,kerajaan
1211,keras2,keras-keras
1212,kerasa,terasa
1213,kerdus,kardus
1214,kere,miskin
1215,kering2,kering-kering
1216,keringet,keringat
1217,kerj,kerja
1218,kerjain,kerjakan
1219,kerjan,pekerjaan
1220,kerumah,ke rumah
1221,kesabaranya,kesabarannya
1222,kesalahane,kesalahannya
1223,kesalon,ke salon
1224,kesampean,kesampaian
1225,kesampeng,ke samping
1226,kesane,kesannya
1227,kesangkut,tersangkut
1228,kesanya,kesannya
1229,kesasar,tersasar
1230,kesawah,ke sawah
1231,kesayanganya,kesayangannya
1232,kesederhanan,kesederhanaan
1233,kesedian,kesediaan
1234,kesedianya,kesediaannya
1235,kesekolah,ke sekolah
1236,keselip,terselip
1237,kesetian,kesetiaan
1238,kesetianmu,kesetiaanmu
1239,kesetianya,kesetiaannya
1240,kesian,kasihan
1241,kesklh,ke sekolah
1242,kesmpean,kesampaian
1243,kesna,kesana
1244,kesni,kesini
1245,kesno,kesana
1246,kesodara,ke saudara
1247,kesokalh,ke sekolah
1248,kesono,kesana
1249,kesukan,kesukaan
1250,ket,keterangan
1251,ketabrak,tertabrak
1252,ketagih,tertagih
1253,ketarik,tertarik
1254,ketawa,tertawa
1255,ketawa2,ketawa-tawa
1256,ketentuanya,ketentuannya
1257,keterpurulanya,keterpurukannya
1258,ketiban,tertimpa
1259,ketidaknyamananya,ketidaknyamanannya
1260,ketidung,ke tidung
1261,ketike,ketika
1262,ketimpa,tertimpa
1263,ketingalan,ketinggalan
1264,ketok,terlihat
1265,ketoke,sepertinya
1266,ketrangan,keterangan
1267,ketrngan,keterangan
1268,ketuan,ketuaan
1269,ketuker,ketukar
1270,ketutup,tertutup
1271,keungulan,keunggulan
1272,keungulanya,keunggulannya
1273,kewarganegaran,kewarganegaraan
1274,kewarnet,ke warung internet
1275,keyword,kata kunci
1276,kga,tidak
1277,kgak,tidak
1278,kgk,tidak
1279,kgn,kangen
1280,khayalany,khayalannya
1281,khilap,khilaf
1282,khs,khas
1283,kie,ini
1284,kira2,kira-kira
1285,kiyai,kyai
1286,kjadian,kejadian
1287,kjauhan,kejauhan
1288,kjauhn,kejauhan
1289,klah,kalah
1290,klaksonya,klaksonnya
1291,klangan,kalangan
1292,klapa,kelapa
1293,klebihan,kelebihan
1294,klekson,klakson
1295,klh,kalah
1296,kliahatan,kelihatan
1297,klian,kalian
1298,kliatan,kelihatan
1299,kliatanya,kelihatannya
1300,kliatn,kelihatan
1301,klien2,klien-klien
1302,kliling,keliling
1303,klima,kelima
1304,klmpok,kelompok
1305,klo,kalau
1306,klow,kalau
1307,klrg,keluarga
1308,kls,kelas
1309,klu,kalau
1310,kluar,keluar
1311,kluaran,keluaran
1312,kluarga,keluarga
1313,kluargo,keluarga
1314,kluarin,keluarkan
1315,kluarkan,keluarkan
1316,klulusan,kelulusan
1317,klw,kalau
1318,klytn,kelihatan
1319,klz,kelas
1320,km,kamu
1321,kmaha,bagaimana
1322,kmaleman,kemalaman
1323,kmana,kemana
1324,kmane,kemana
1325,kmar,kamar
1326,kmaren,kemarin
1327,kmari,kemari
1328,kmarin,kemarin
1329,kmbali,kembali
1330,kmbaranya,kembarannya
1331,kmbl,kembali
1332,kmbli,kembali
1333,kmbuh,kambuh
1334,kmi,kami
1335,kmis,kamis
1336,kmn,kemana
1337,kmna,kemana
1338,kmna2,kemana-mana
1339,kmonas,ke monas
1340,kmpl,kumpul
1341,kmplin,kumpulkan
1342,kmpnye,kampanye
1343,kmpul,kumpul
1344,kmpung,kampung
1345,kmpus,kampus
1346,kmr,kamar
1347,kmren,kemarin
1348,kmri,kemari
1349,kmrin,kemarin
1350,kmrmandi,kamar mandi
1351,kmrn,kemarin
1352,kms,kamis
1353,kmu,kamu
1354,kmunya,kamunya
1355,kn,kan
1356,kna,kena
1357,knal,kenal
1358,knan,kanan
1359,knapa,kenapa
1360,knape,kenapa
1361,knci,kunci
1362,kndala,kendala
1363,kndaraan,kendaraan
1364,kndaran,kendaraan
1365,kndisi,kondisi
1366,kndla,kendala
1367,knfrmsi,konfirmasi
1368,kngen,kangen
1369,knggo,untuk
1370,kngn,kangen
1371,kngo,untuk
1372,kni,kini
1373,knjungi,kunjungi
1374,knl,kenal
1375,knp,kenapa
1376,knp2,kenapa-kenapa
1377,knpa,kenapa
1378,knpah,kenapa
1379,kntor,kantor
1380,kntr,kantor
1381,knyataan,kenyataan
1382,knyatan,kenyataan
1383,knytaanya,kenyataannya
1384,knytanya,kenyataannya
1385,kominfo,Komunikasi dan Informatika
1386,komnas,komisi nasional
1387,komplk,komplek
1388,konsumenya,konsumennya
1389,kontrakanya,kontrakannya
1390,koordinasikn,koordinasikan
1391,kordinasi,koordinasi
1392,kordinasikn,koordinasikan
1393,kordinat,koordinat
1394,kosanya,kosannya
1395,kosongin,kosongkan
1396,kost,kos
1397,kotabgr,kota bogor
1398,kowe,kamu
1399,koyo,seperti
1400,kpada,kepada
1401,kpala,kepala
1402,kpalaku,kepalaku
1403,kpan,kapan
1404,kpantai,ke pantai
1405,kpd,kepada
1406,kpengen,ingin
1407,kpercyaan,kepercayaan
1408,kpercyan,kepercayaan
1409,kpleset,terpleset
1410,kpn,kapan
1411,kpn2,kapan-kapan
1412,kpotong,terpotong
1413,kprluan,keperluan
1414,kputusan,keputusan
1415,kq,kok
1416,kra2,kira-kira
1417,krajinan,kerajinan
1418,kranjang,keranjang
1419,kreatifitas,kreativitas
1420,kreatip,kreatif
1421,kren,keren
1422,kreta,kereta
1423,krg,kurang
1424,krj,kerja
1425,krja,kerja
1426,krjo,kerja
1427,krm,kirim
1428,krmh,kerumah
1429,krn,karena
1430,krna,karena
1431,kro,sama
1432,krt,kartu
1433,krtik,kritik
1434,krtu,kartu
1435,krtunya,kartunya
1436,krudung,kerudung
1437,ksampean,kesampaian
1438,ksana,kesana
1439,ksedot,tersedot
1440,ksel,kesal
1441,ksetrum,tersetrum
1442,ksh,kasih
1443,ksian,kasihan
1444,ksiang,kesiangan
1445,ksiangan,kesiangan
1446,ksianny,kasihannya
1447,ksiannya,kasihannya
1448,ksiany,kasihannya
1449,ksianya,kasihannya
1450,ksih,kasih
1451,ksihan,kasihan
1452,ksini,kesini
1453,ksitu,kesitu
1454,kskolah,ke sekolah
1455,ksn,kesana
1456,ksna,kesana
1457,ksni,kesini
1458,ksno,kesana
1459,ksono,kesana
1460,kstu,kesitu
1461,ksukaan,kesukaan
1462,ksukan,kesukaan
1463,kt,kita
1464,kta,kata
1465,ktany,katanya
1466,ktanya,katanya
1467,ktawa2,ketawa-tawa
1468,ktemu,ketemu
1469,ktika,ketika
1470,ktimbang,daripada
1471,ktingalan,ketinggalan
1472,ktinggalan,ketinggalan
1473,ktinggian,ketinggian
1474,ktingian,ketinggian
1475,ktk,ketika
1476,ktka,ketika
1477,ktm,ketemu
1478,ktmpt,ketempat
1479,ktmu,ketemu
1480,ktmuan,ketemuan
1481,ktng,ketinggalan
1482,ktny,katanya
1483,ktnya,katanya
1484,ktor,kotor
1485,ktusuk,tertusuk
1486,kuangen,kangen
1487,kubawain,kubawakan
1488,kumaha,bagaimana
1489,kumplit,komplit
1490,kumpul2,kumpul-kumpul
1491,kumpulin,kumpulkan
1492,kunaon,kenapa
1493,kunjunganya,kunjungannya
1494,kunjungin,kunjungi
1495,kupayakan,kuupayakan
1496,kuper,kurang pergaulan
1497,kura2,kura-kura
1498,kurangin,kurangi
1499,kw,kau
1500,ky,seperti
1501,kya,seperti
1502,kyak,seperti
1503,kyaknya,sepertinya
1504,kyakx,sepertinya
1505,kyamanan,kenyamanan
1506,kyanya,sepertinya
1507,kyk,seperti
1508,kyke,sepertinya
1509,kyknya,sepertinya
1510,kykx,sepertinya
1511,kyky,sepertinya
1512,kyny,sepertinya
1513,kynya,sepertinya
1514,laba2,laba-laba
1515,laen,lain
1516,lainny,lainnya
1517,lainx,lainnya
1518,lainy,lainnya
1519,lainya,lainnya
1520,laki2,laki-laki
1521,lamo,lama
1522,lancar2,lancar-lancar
1523,lanjt,lanjut
1524,lansia,lanjut usia
1525,lapanganya,lapangannya
1526,laper,lapar
1527,laporanya,laporannya
1528,laporin,laporkan
1529,lathan,latihan
1530,latian,latihan
1531,latiannya,latihannya
1532,latianya,latihannya
1533,latihanya,latihannya
1534,lau,kau
1535,lautnye,lautnya
1536,lawanya,lawannya
1537,lawanye,lawannya
1538,lbang,lubang
1539,lbh,lebih
1540,lbih,lebih
1541,lbr,libur
1542,lbran,liburan
1543,lbrn,liburan
1544,lbur,libur
1545,lburan,liburan
1546,ldr,hubungan jarak jauh
1547,lengkapin,lengkapi
1548,lepasin,lepaskan
1549,letkol,letnan kolonel
1550,lg,lagi
1551,lgi,lagi
1552,lgsg,langsung
1553,lgsng,langsung
1554,lgsung,langsung
1555,lgu,lagu
1556,lgy,lagi
1557,lht,lihat
1558,liad,lihat
1559,liat,lihat
1560,liat2,lihat-lihat
1561,liatany,kelihatannya
1562,liatin,lihatin
1563,liatny,lihatnya
1564,liatnya,lihatnya
1565,liatnye,lihatnya
1566,liburin,liburkan
1567,lifestyle,gaya hidup
1568,link,tautan
1569,lipet,lipat
1570,lipi,Lembaga Ilmu Pengetahuan Indonesia
1571,lipstick,lipstik
1572,list,daftar
1573,living,tinggal
1574,lju,laju
1575,lkukn,lakukan
1576,lma,lama
1577,lma2,lama-lama
1578,lmak,lemak
1579,lmbr,lembar
1580,lmbt,lambat
1581,lmpu,lampu
1582,lmyan,lumayan
1583,lmyn,lumayan
1584,lncr,lancar
1585,lnganan,langganan
1586,lngganan,langganan
1587,lngkap,lengkap
1588,lngkp,lengkap
1589,lngsg,langsung
1590,lngsng,langsung
1591,lngsung,langsung
1592,lnjt,lanjut
1593,lnjut,lanjut
1594,lnjutnya,lanjutnya
1595,lntai,lantai
1596,lo,kamu
1597,local,lokal
1598,location,lokasi
1599,loe,kamu
1600,lokasiny,lokasinya
1601,lol,tertawa
1602,lom,belum
1603,loncat2,loncat-loncat
1604,longdistance,jarak jauh
1605,longweekend,liburan panjang akhir pekan
1606,longwekend,liburan panjang akhir pekan
1607,longwiken,liburan panjang akhir pekan
1608,looser,pecundang
1609,lowbet,baterai lemah
1610,lp,lupa
1611,lpa,lupa
1612,lpangan,lapangan
1613,lpas,lepas
1614,lt,lantai
1615,lu,kamu
1616,luh,kamu
1617,luhkan,kamu kan
1618,luka2,luka-luka
1619,lupain,lupakan
1620,lupe,lupa
1621,lw,kamu
1622,lwat,lewat
1623,lwn,lawan
1624,lwt,lewat
1625,lyt,lihat
1626,m0nas,monas
1627,m4ndiri,mandiri
1628,ma,sama
1629,ma2h,mamah
1630,ma2mu,mamahmu
1631,maav,maaf
1632,mabelasribu,lima belas ribu
1633,maacih,terimakasih
1634,macacih,terimakasih
1635,macam2,macam-macam
1636,macem2,macam-macam
1637,macetnyo,macetnya
1638,maen,main
1639,maenan,mainan
1640,maenannya,mainannya
1641,maenannye,mainannya
1642,maenanya,mainannya
1643,maenanye,mainannya
1644,maenin,mainkan
1645,maenya,mainnya
1646,maf,maaf
1647,maapin,maafkan
1648,mafin,maafkan
1649,mafkan,maafkan
1650,mahal2,mahal-mahal
1651,main2,main-main
1652,mainy,mainnya
1653,mainya,mainnya
1654,makaci,terimakasih
1655,makai,memakai
1656,makanye,makanya
1657,makaseh,terimakasih
1658,makasih,terimakasih
1659,makasiy,terimakasih
1660,make,memakai
1661,makin2,makin-makin
1662,maksih,terimakasih
1663,maksude,maksudnya
1664,maksudnye,maksudnya
1665,maksudx,maksudnya
1666,maksut,maksud
1667,maksutnya,maksudnya
1668,mal,mall
1669,malam2,malam-malam
1670,maleh,lagi
1671,malem,malam
1672,males,malas
1673,malming,malam minggu
1674,malu2in,malu-maluin
1675,mamany,mamahnya
1676,mananye,mananya
1677,mane,mana
1678,mane2,mana-mana
1679,maneh,lagi
1680,manfaatin,manfaatkan
1681,manfat,manfaat
1682,manfatin,manfaatkan
1683,manfatkan,manfaatkan
1684,mangaku,mengaku
1685,mangane,makannya
1686,manggil2,manggil-manggil
1687,manggl,manggil
1688,mangil,manggil
1689,mangil2,manggil-manggil
1690,mangis,manggis
1691,mangkane,makanya
1692,mangkanya,makanya
1693,mangkanye,makanya
1694,mangku,memangku
1695,mangl,manggil
1696,mangnya,memangnya
1697,mangung,manggung
1698,mangungnya,manggungnya
1699,maning,lagi
1700,manis2,manis-manis
1701,manjain,manjakan
1702,mantab,mantap
1703,mantabh,mantap
1704,mantabp,mantap
1705,mantabs,mantap
1706,mantaf,mantap
1707,mantaps,mantap
1708,mantapz,mantap
1709,manteb,mantap
1710,mantebp,mantap
1711,mantemand,teman-teman
1712,mantep,mantap
1713,manteub,mantap
1714,manthap,mantap
1715,manusia2,manusia-manusia
1716,manut,ngikut
1717,manutd,ngikut
1718,mao,mau
1719,maonya,maunya
1720,map,maaf
1721,map2,maaf-maaf
1722,mapin,maafkan
1723,marah2,marah-marah
1724,marang,kepada
1725,maren,kemarin
1726,married,menikah
1727,masal,massal
1728,masalahny,masalahnya
1729,masalh,masalah
1730,masama,sama-sama
1731,masang,memasang
1732,mash,masih
1733,masi,masih
1734,masing2,masing-masing
1735,masjed,masjid
1736,mastiin,memastikan
1737,mastikn,memastikan
1738,mastin,memastikan
1739,masya,masyaAllah
1740,MasyaAlah,masyaAllah
1741,masyalah,masyaAllah
1742,mateng,matang
1743,matiin,matikan
1744,matikn,matikan
1745,matin,matikan
1746,maunye,maunya
1747,max,maksimal
1748,maximum,maksimal
1749,maybe,mungkin
1750,mb,mbak
1751,mba,mbak
1752,mbake,mbaknya
1753,mbaku,mbakku
1754,mbalek,balik
1755,mbalekno,kembalikan
1756,mbalik,balik
1757,mbanya,mbaknya
1758,mbaq,mbak
1759,mbek,sama
1760,mbiyen,dahulu
1761,mbk,mbak
1762,mboten,tidak
1763,mbrikan,memberikan
1764,mbuat,membuat
1765,mbwa,membawa
1766,mcam,macam
1767,mcetnya,macetnya
1768,mcm,macam
1769,mcm2,macam-macam
1770,mdg,mending
1771,mdh,mudah
1772,mdh2an,mudah-mudahan
1773,mdh2n,mudah-mudahan
1774,mdingan,mendingan
1775,mekah,mekkah
1776,melakukanya,melakukannya
1777,melangar,melanggar
1778,melu,ikut
1779,memasukan,memasukkan
1780,mmber,member
1781,membalikan,membalikkan
1782,membiarkanya,membiarkannya
1783,membutuhkn,membutuhkan
1784,memgumpulkan,mengumpulkan
1785,memikirkanya,memikirkannya
1786,memperingatai,memperingati
1787,mempermslhin,mempermasalahkan
1788,mempertangungjawabkanya,mempertanggungjawabkannya
1789,memprduksi,memproduksi
1790,mempromosika,mempromosikan
1791,menaklukan,menaklukkan
1792,menakotkan,menakutkan
1793,menangapi,menanggapi
1794,menangungnya,menanggungnya
1795,mendonlot,mengunduh
1796,mendownload,mengunduh
1797,mendpat,mendapat
1798,mendptkan,mendapatkan
1799,meneng,diam
1800,mengabulkanya,mengabulkannya
1801,mengagalkan,menggagalkan
1802,mengalahkn,mengalahkan
1803,mengambar,menggambar
1804,mengambarkan,menggambarkan
1805,mengandeng,menggandeng
1806,mengangap,menganggap
1807,mengangu,mengganggu
1808,menganguk,mengangguk
1809,menganti,mengganti
1810,mengantung,menggantung
1811,mengasikan,mengasyikkan
1812,mengasyikan,mengasyikkan
1813,mengatakn,mengatakan
1814,mengelar,menggelar
1815,mengeliat,menggeliat
1816,mengelinding,menggelinding
1817,mengelitik,menggelitik
1818,mengembirakan,menggembirakan
1819,mengen2in,membuat kepingin
1820,mengeringkanya,mengeringkannya
1821,menggunakn,menggunakan
1822,menggunkan,menggunakan
1823,menggunkn,menggunakan
1824,mengirimkn,mengirimkan
1825,mengktfka,mengaktifkan
1826,mengoda,menggoda
1827,mengugah,menggugah
1828,mengunakan,menggunakan
1829,mengunakn,menggunakan
1830,menguncang,mengguncang
1831,mengunkan,menggunakan
1832,mengunkn,menggunakan
1833,menheningkan,mengheningkan
1834,menhub,menteri perhubungan
1835,meningal,meninggal
1836,meningalkan,meninggalkan
1837,meningalnya,meninggalnya
1838,menungang,menunggang
1839,menungu,menunggu
1840,menungumu,menunggumu
1841,menunjukan,menunjukkan
1842,mnyesuaikan,menyesuaikan
1843,menyengol,menyenggol
1844,merayakanya,merayakannya
1845,merit,menikah
1846,mesinya,mesinnya
1847,mesjid,masjid
1848,met,selamat
1849,mewah2,mewah-mewah
1850,meweg,mau nangis
1851,mewek,mau nangis
1852,mgalami,mengalami
1853,mggelar,menggelar
1854,mggu,minggu
1855,mghntarkan,menghantarkan
1856,mgkin,mungkin
1857,mgkn,mungkin
1858,mgkt,berangkat
1859,mgok,mogok
1860,mh,mah
1861,mhn,mohon
1862,mhon,mohon
1863,mhsi,mahasiswa
1864,mhsiswamu,mahasiswamu
1865,mi apah,demi apa
1866,miapa,demi apa
1867,miapah,demi apa
1868,miapeh,demi apa
1869,mikir,berfikir
1870,mikir2,berfikir-fikir
1871,mikiran,suka berfikir
1872,mikiri,memikirkan
1873,mikirin,memikirkan
1874,mikirkeun,memikirkan
1875,mikirny,berfikirnya
1876,mikirnya,berfikirnya
1877,milikny,miliknya
1878,miliku,milikku
1879,mingir,minggir
1880,mingu,minggu
1881,mingu2,minggu-minggu
1882,minguan,mingguan
1883,mingunya,minggunya
1884,mingux,minggunya
1885,mint,minta
1886,mintain,mintakan
1887,misalny,misalnya
1888,mjd,menjadi
1889,mka,maka
1890,mkan,makan
1891,mkanya,makanya
1892,mkasih,terimakasih
1893,mkmur,makmur
1894,mkn,makan
1895,mknan,makanan
1896,mknya,makanya
1897,mks,terimakasih
1898,mksd,maksud
1899,mksdnya,maksudnya
1900,mksh,terimakasih
1901,mksi,terimakasih
1902,mksih,terimakasih
1903,mksimal,maksimal
1904,mksod,maksud
1905,mksud,maksud
1906,mksudny,maksudnya
1907,mksudnya,maksudnya
1908,mlah,malah
1909,mlai,mulai
1910,mlaku,jalan
1911,mlaku2,jalan-jalan
1912,mlakukan,melakukan
1913,mlakune,jalannya
1914,mlam,malam
1915,mlaz,malas
1916,mlebu,masuk
1917,mledug,meledak
1918,mleduk,meledak
1919,mlem,malam
1920,mlepas,melepas
1921,mles,malas
1922,mlggr,melanggar
1923,mlgr,melanggar]
1924,mlh,malah
1925,mlihat,melihat
1926,mlintas,melintas
1927,mlkukan,melakukan
1928,mlm,malam
1929,mlm2,malam-malam
1930,mlmnya,malamnya
1931,mls,malas
1932,mlulu,melulu
1933,mmbahana,membahana
1934,mmbawaku,membawaku
1935,mmbedakan,membedakan
1936,mmbeli,membeli
1937,mmbhyakn,membahayakan
1938,mmbrikan,memberikan
1939,mmbuat,membuat
1940,mmbutuhkan,membutuhkan
1941,mmg,memang
1942,mmiliki,memiliki
1943,mmperkuat,memperkuat
1944,mmperpanjang,memperpanjang
1945,mmpi,mimpi
1946,mmpr,mampir
1947,mmprlihatkn,memperlihatkan
1948,mmprsiapkn,mempersiapkan
1949,mmpu,mampu
1950,mmpus,mampus
1951,mn,mana
1952,mna,mana
1953,mnang,menang
1954,mnangkan,menangkan
1955,mnara,menara
1956,mnarik,menarik
1957,mncapai,mencapai
1958,mncari,mencari
1959,mncri,mencari
1960,mndadak,mendadak
1961,mndapatkn,mendapatkan
1962,mndat,mandat
1963,mnding,mending
1964,mndingan,mendingan
1965,mndok,mondok
1966,mndonkrak,mendongkrak
1967,mndptkan,mendapatkan
1968,mndukung,mendukung
1969,mndukungnya,mendukungnya
1970,mndung,mendung
1971,mne,mana
1972,mnfaat,manfaat
1973,mngalami,mengalami
1974,mngalir,mengalir
1975,mngeluarkan,mengeluarkan
1976,mngenang,mengenang
1977,mngendarai,mengendarai
1978,mngerti,mengerti
1979,mnggl,manggil
1980,mnggu,minggu
1981,mngguan,mingguan
1982,mnggunakan,menggunakan
1983,mnggunkn,menggunakan
1984,mnghadap,menghadap
1985,mnghamili,menghamili
1986,mngharap,mengharap
1987,mngheningkan,mengheningkan
1988,mngis,manggis
1989,mngkel,kesal
1990,mngkin,mungkin
1991,mngkn,mungkin
1992,mngkne,makanya
1993,mngkonyo,makanya
1994,mngnai,mengenai
1995,mngsudnye,maksudnya
1996,mngu,minggu
1997,mnguan,mingguan
1998,mngunakan,menggunakan
1999,mngunkn,menggunakan
2000,mnikah,menikah
2001,mnikmti,menikmati
2002,mnis,manis
2003,mnitikberatkan,menitikberatkan
2004,mnjadi,menjadi
2005,mnjd,menjadi
2006,mnjdi,menjadi
2007,mnjem,meminjam
2008,mnjunjung,menjunjung
2009,mnjwab,menjawab
2010,mnnti,menanti
2011,mnrt,menurut
2012,mnt,minta
2013,mnta,minta
2014,mntain,mintakan
2015,mntannya,mantannya
2016,mntanya,mantannya
2017,mntap,mantap
2018,mnti,menanti
2019,mnual,manual
2020,mnuggu,menunggu
2021,mnugu,menunggu
2022,mnuju,menuju
2023,mnum,minum
2024,mnungGu,menunggu
2025,mnungu,menunggu
2026,mnunjukan,menunjukkan
2027,mnunjukkan,menunjukkan
2028,mnurut,menurut
2029,mnurutmu,menurutmu
2030,mnusia,manusia
2031,mnyamar,menyamar
2032,mnyusul,menyusul
2033,mo,mau
2034,modifan,hasil modifikasi
2035,modification,modifikasi
2036,modified,dimodifikasi
2037,modifikasiin,modifikasikan
2038,modifikasin,modifikasikan
2039,moh,tidak mau
2040,momendnya,momennya
2041,moment,momen
2042,moments,momen
2043,momenya,momennya
2044,monasny,monasnya
2045,monday,senin
2046,Mondays,senin
2047,money,uang
2048,monkey,monyet
2049,month,bulan
2050,monyetna,monyetnya
2051,morning,pagi
2052,mornings,pagi
2053,moro,datang
2054,moro2,datang-datang
2055,morosotkeun,memerosotkan
2056,mother,ibu
2057,motoin,mengambil foto
2058,motone,cara mengambil fotonya
2059,motor2,motor-motor
2060,motr,motor
2061,mpe,sampai
2062,mpek,sampai
2063,mpempek,pempek
2064,mperkuat,memperkuat
2065,mperpanjang,memperpanjang
2066,mpun,sudah
2067,mpunya,punya
2068,mrah,marah
2069,mrah2,marah-marah
2070,mrantau,merantau
2071,mrasa,merasa
2072,mrasakany,merasakannya
2073,mrek,mereka
2074,mreka,mereka
2075,mrh,marah
2076,mrhn,marahan
2077,mri,mari
2078,mridnya,muridnya
2079,mriki,kesini
2080,mrinding,merinding
2081,mrip,mirip
2082,mrk,mereka
2083,mrka,mereka
2084,mrono,kesana
2085,mrp,merupakan
2086,mrpti,merpati
2087,mrupakn,merupakan
2088,msak,masak
2089,msalah,masalah
2090,msg,masing
2091,msg2,masing-masing
2092,msh,masih
2093,msih,masih
2094,msing2,masing-masing
2095,msjid,masjid
2096,mski,meski
2097,mskipun,meskipun
2098,mslah,masalah
2099,mslahnya,masalahnya
2100,mslh,masalah
2101,mslhnye,masalahnya
2102,msng,masing
2103,msog,masak
2104,msohan,musuhan
2105,msok,masak
2106,mst,mesti
2107,msti,mesti
2108,msuk,masuk
2109,msukin,masukkan
2110,msuknya,masuknya
2111,mtor,motor
2112,mtor2,motor-motor
2113,mtore,motornya
2114,mtornya,motornya
2115,mtr,motor
2116,mudah2an,mudah-mudahan
2117,mugi,semoga
2118,mugi2,moga-moga
2119,mukax,mukanya
2120,mulay,mulai
2121,muluk2,berlebihan
2122,mumpng,mumpung
2123,mungah,naik
2124,music,musik
2125,musim2,musim-musim
2126,musium,museum
2127,mustinya,mestinya
2128,muter,berputar
2129,muter2,berputar-putar
2130,mw,mau
2131,mwah,mewah
2132,myname,namaku
2133,mz,mas
2134,nabrak,menabrak
2135,naek,naik
2136,nais,nice
2137,naitu,nah itu
2138,nama2,nama-nama
2139,namany,namanya
2140,namanye,namanya
2141,nambah,bertambah
2142,nambah2,nambah-nambah
2143,name,nama
2144,named,dinamai
2145,names,nama
2146,nanganin,menangani
2147,nanges,nangis
2148,nanya,bertanya
2149,nanyain,menanyakan
2150,naon,apa
2151,napa,kenapa
2152,napah,kenapa
2153,nape,kenapa
2154,narcis,narsis
2155,nari,menari
2156,naro,naruh
2157,nasgor,nasi goreng
2158,nasgornya,nasi gorengnya
2159,navigation,navigasi
2160,ndadak,mendadak
2161,ndak,tidak
2162,ndakpapa,tidak apa-apa
2163,ndang,buruan
2164,ndek,sejak
2165,ndelik,bersembunyi
2166,ndelok,melihat
2167,ndengkur,mendengkur
2168,ndi,mana
2169,ndk,tidak
2170,ndodok,jongkok
2171,nduwe,punya
2172,nebelin,menebalkan
2173,need,butuh
2174,needed,dibutuhkan
2175,needs,kebutuhan
2176,negative,negatif
2177,negra,negara
2178,negri,negeri
2179,neh,nih
2180,nelepon,menelpon
2181,nelfon,menelpon
2182,nelor,bertelur
2183,nelp,menelpon
2184,nelpon,menelpon
2185,nelv,menelpon
2186,nelvon,menelpon
2187,nemanin,menemani
2188,nembak,menembak
2189,nembaknya,menembaknya
2190,nembaknye,menembaknya
2191,nembus,menembus
2192,nemen,banget
2193,nemenin,menemani
2194,nemu,menemukan
2195,nemuin,menemui
2196,nemuinnya,menemuinya
2197,nemuinya,menemuinya
2198,nemunya,menemukannya
2199,nenangin,menenangkan
2200,nendang,menendang
2201,nenek2,nenek-nenek
2202,nengheningkan,mengheningkan
2203,nengkene,disini
2204,nengkono,disana
2205,nengok,menengok
2206,nengokin,menengoki
2207,nenteng,membawa
2208,nenteng2,membawa
2209,nepatin,menepati
2210,nerusin,meneruskan
2211,netter,pengguna internet
2212,network,jaringan
2213,never,tidak pernah
2214,nevermind,tidak usah dipikirkan
2215,news,berita
2216,ngabadiin,mengabadikan
2217,ngabadin,mengabadikan
2218,ngabarin,mengabari
2219,ngabisin,menghabiskan
2220,ngabohong,berbohong
2221,ngabolang,berpetualang
2222,ngaca,berkaca
2223,ngacir,kabur
2224,ngadain,mengadakan
2225,ngadem,berteduh
2226,ngademin,meneduhkan
2227,ngadep,menghadap
2228,ngadirin,menghadiri
2229,ngadu,mengadu
2230,ngagetin,mengagetkan
2231,ngajak2,ngajak-ngajak
2232,ngajakgue,mengajak saya
2233,ngajakinya,mengajaknya
2234,ngajari,mengajari
2235,ngajarin,mengajari
2236,ngak,tidak
2237,ngakak,tertawa
2238,ngakuin,mengakui
2239,ngalah,mengalah
2240,ngalahin,mengalahkan
2241,ngalihin,mengalihkan
2242,ngalir,mengalir
2243,ngambang,mengambang
2244,ngambil,mengambil
2245,ngambilin,mengambilkan
2246,ngambilnya,mengambilnya
2247,ngampus,pergi ke kampus
2248,ngamuk2,mengamuk-ngamuk
2249,ngancani,menemani
2250,ngancurin,menghancurkan
2251,ngandeng,menggandeng
2252,ngangap,menganggap
2253,ngangenin,membuat kangen
2254,ngangge,menggunakan
2255,nganggo,menggunakan
2256,ngangguk,mengangguk
2257,ngangur,menganggur
2258,nganjel,mengganjal
2259,nganter,mengantar
2260,nganterin,mengantarkan
2261,nganti,sampai
2262,ngantongi,mengantongi
2263,ngantongin,mengantongi
2264,ngantor,pergi ke kantor
2265,ngantre,mengantri
2266,ngantri,mengantri
2267,ngantrinya,mengantrinya
2268,ngantuks,mengantuk
2269,ngapa2in,ngapa-ngapain
2270,ngapal,menghafal
2271,ngapalin,menghafalkan
2272,ngape,ngapain
2273,ngapo,ngapain
2274,ngapusi,berbohong
2275,ngara,negara
2276,ngarah,mengarah
2277,ngarang,mengarang
2278,ngaranye,negaranya
2279,ngarap,mengerjakan
2280,ngarep,berharap
2281,ngarepane,harapannya
2282,ngarepin,mengharapkan
2283,ngaret,telat
2284,ngarti,mengerti
2285,ngaruh,berpengaruh
2286,ngash,memberi
